source,key/id,uk,ru,en,pl,note
dict,"5–10 хвилин надворі вранці дають набагато більше люксів, ніж кімнатне освітлення, навіть у хмарну погоду.","5–10 хвилин надворі вранці дають набагато більше люксів, ніж кімнатне освітлення, навіть у хмарну погоду.","5–10 минут на улице утром дают намного больше люксов, чем комнатное освещение, даже в пасмурную погоду.","5–10 minutes outdoors in the morning gives far more lux than indoor lighting, even on a cloudy day.","5–10 minut na zewnątrz rano daje znacznie więcej luksów niż oświetlenie w pomieszczeniu, nawet w pochmurny dzień.",
dict,5–10 хвилин надворі — вже багато,5–10 хвилин надворі — вже багато,5–10 минут на улице — уже много,5–10 minutes outdoors is plenty,5–10 minut na zewnątrz to już dużo,
dict,60 хвилин,60 хвилин,60 минут,60 minutes,60 minut,
dict,600 хв,600 хв,600 мин,600 min,600 min,pl=en?
dict,600 хв холоду,600 хв холоду,600 мин холода,600 min of cold,600 min zimna,
dict,7 днів,7 днів,7 дней,7 days,7 dni,
dict,7 днів холоду,7 днів холоду,7 дней холода,7 days of cold,7 dni zimna,
dict,7–9 рівень,7–9 рівень,7–9 уровень,Levels 7–9,Poziom 7–9,
dict,8 годин (фон),8 годин (фон),8 часов (фон),8 hours (background),8 godzin (tło),
dict,90 днів,90 днів,90 дней,90 days,90 dni,
dict,"HRV індивідуальна, тож порівнюй із собою, а не з іншими. Найбільше на неї впливають сон, дихання, рух і відновлення.","HRV індивідуальна, тож порівнюй із собою, а не з іншими. Найбільше на неї впливають сон, дихання, рух і відновлення.","HRV индивидуальна, поэтому сравнивай с собой, а не с другими. Больше всего на неё влияют сон, дыхание, движение и восстановление.","HRV is individual, so compare with yourself, not others. Sleep, breathing, movement and recovery affect it most.","HRV jest indywidualne, więc porównuj z sobą, a nie z innymi. Najbardziej wpływają na nie sen, oddech, ruch i regeneracja.",
dict,HRV — вікно у нервову систему,HRV — вікно у нервову систему,HRV — окно в нервную систему,HRV is a window into the nervous system,HRV to okno na układ nerwowy,
dict,"HRV — це варіація інтервалів між ударами серця. Вища HRV зазвичай означає, що тіло легко перемикається між мобілізацією й відновленням.","HRV — це варіація інтервалів між ударами серця. Вища HRV зазвичай означає, що тіло легко перемикається між мобілізацією й відновленням.","HRV — это вариация интервалов между ударами сердца. Более высокая HRV обычно означает, что тело легко переключается между мобилизацией и восстановлением.",HRV is the variation in intervals between heartbeats. Higher HRV usually means the body switches easily between mobilization and recovery.,"HRV to zmienność odstępów między uderzeniami serca. Wyższe HRV zwykle oznacza, że ciało łatwo przełącza się między mobilizacją a regeneracją.",
dict,"NSDR (non-sleep deep rest) — це спокійне лежання з керуванням увагою й диханням. Воно знижує збудження й допомагає відновитися, навіть без справжнього сну.","NSDR (non-sleep deep rest) — це спокійне лежання з керуванням увагою й диханням. Воно знижує збудження й допомагає відновитися, навіть без справжнього сну.","NSDR (non-sleep deep rest) — это спокойное лежание с управлением вниманием и дыханием. Оно снижает возбуждение и помогает восстановиться, даже без настоящего сна.","NSDR (non-sleep deep rest) is calm lying down with guided attention and breathing. It lowers arousal and helps you recover, even without real sleep.","NSDR (non-sleep deep rest) to spokojne leżenie z prowadzeniem uwagi i oddechu. Obniża pobudzenie i pomaga się zregenerować, nawet bez prawdziwego snu.",
dict,NSDR / йога-нідра для відновлення вдень,NSDR / йога-нідра для відновлення вдень,NSDR / йога-нидра для восстановления днём,NSDR / yoga nidra for daytime recovery,NSDR / joga nidra do regeneracji w ciągu dnia,
dict,"Resonance перетворює реальні практики — дихання, холод, рух, медитацію, читання — на досвід і рівні. Прокачуєш не аватар, а себе. Сталість важливіша за інтенсивність.","Resonance перетворює реальні практики — дихання, холод, рух, медитацію, читання — на досвід і рівні. Прокачуєш не аватар, а себе. Сталість важливіша за інтенсивність.","Resonance превращает реальные практики — дыхание, холод, движение, медитацию, чтение — в опыт и уровни. Прокачиваешь не аватар, а себя. Постоянство важнее интенсивности.","Resonance turns real practices — breathing, cold, movement, meditation, reading — into experience and levels. You level up yourself, not an avatar. Consistency beats intensity.","Resonance zamienia realne praktyki — oddech, zimno, ruch, medytację, czytanie — w doświadczenie i poziomy. Rozwijasz nie awatar, lecz siebie. Systematyczność ważniejsza niż intensywność.",
dict,Resonance — звіт,Resonance — звіт,Resonance — отчёт,Resonance — report,Resonance — raport,
dict,"Resonance — це персональний компаньйон для тілесних і ментальних практик. Ідея проста: ти — свій персонаж, і прокачуєш не аватар, а себе.","Resonance — це персональний компаньйон для тілесних і ментальних практик. Ідея проста: ти — свій персонаж, і прокачуєш не аватар, а себе.","Resonance — это персональный компаньон для телесных и ментальных практик. Идея проста: ты — свой персонаж, и прокачиваешь не аватар, а себя.","Resonance is a personal companion for physical and mental practices. The idea is simple: you are your character, and you level up yourself, not an avatar.","Resonance to osobisty towarzysz praktyk cielesnych i mentalnych. Idea jest prosta: to ty jesteś swoją postacią i rozwijasz nie awatar, lecz siebie.",
dict,"Russo et al., 2017 — Breathe (огляд)","Russo et al., 2017 — Breathe (огляд)","Russo et al., 2017 — Breathe (обзор)","Russo et al., 2017 — Breathe (review)","Russo et al., 2017 — Breathe (przegląd)",
dict,Solfeggio / 432 Гц — без доказів,Solfeggio / 432 Гц — без доказів,Solfeggio / 432 Гц — без доказательств,Solfeggio / 432 Hz — no evidence,Solfeggio / 432 Hz — bez dowodów,
dict,"Solfeggio-тон, повʼязаний із відновленням.","Solfeggio-тон, повʼязаний із відновленням.","Solfeggio-тон, связанный с восстановлением.",A Solfeggio tone associated with recovery.,Ton Solfeggio związany z regeneracją.,
dict,"Solfeggio-тони (174–963 Гц) — традиція, а не доведена наука: прямого фізіологічного ефекту немає. Але приємна музика й усвідомлене слухання реально розслабляють.","Solfeggio-тони (174–963 Гц) — традиція, а не доведена наука: прямого фізіологічного ефекту немає. Але приємна музика й усвідомлене слухання реально розслабляють.","Solfeggio-тоны (174–963 Гц) — традиция, а не доказанная наука: прямого физиологического эффекта нет. Но приятная музыка и осознанное слушание реально расслабляют.","Solfeggio tones (174–963 Hz) are tradition, not proven science: there's no direct physiological effect. But pleasant music and mindful listening really do relax you.","Tony Solfeggio (174–963 Hz) to tradycja, a nie udowodniona nauka: nie ma bezpośredniego efektu fizjologicznego. Ale przyjemna muzyka i świadome słuchanie naprawdę rozluźniają.",
dict,"«Solfeggio»-частоти та 432 Гц — це сучасний міф без наукового підґрунтя. Цінність прослуховування — у самому ритуалі спокою й уважності, а не в магії конкретних чисел.","«Solfeggio»-частоти та 432 Гц — це сучасний міф без наукового підґрунтя. Цінність прослуховування — у самому ритуалі спокою й уважності, а не в магії конкретних чисел.","«Solfeggio»-частоты и 432 Гц — это современный миф без научного основания. Ценность прослушивания — в самом ритуале спокойствия и внимательности, а не в магии конкретных чисел.","«Solfeggio» frequencies and 432 Hz are a modern myth with no scientific basis. The value of listening is in the ritual of calm and attention, not in the magic of specific numbers.","Częstotliwości „Solfeggio” i 432 Hz to współczesny mit bez naukowych podstaw. Wartość słuchania tkwi w samym rytuale spokoju i uważności, a nie w magii konkretnych liczb.",
dict,«Детокс-частота» — нібито очищує організм і дає ясність. Наукових даних немає.,«Детокс-частота» — нібито очищує організм і дає ясність. Наукових даних немає.,«Детокс-частота» — якобы очищает организм и даёт ясность. Научных данных нет.,The «detox frequency» — supposedly cleanses the body and brings clarity. No scientific data.,„Częstotliwość detoksu” — rzekomo oczyszcza organizm i daje jasność. Brak danych naukowych.,
dict,«Ремонт ДНК» — маркетинговий міф без підтвердженого механізму. Як медитативна музика — приємний і робочий.,«Ремонт ДНК» — маркетинговий міф без підтвердженого механізму. Як медитативна музика — приємний і робочий.,«Ремонт ДНК» — маркетинговый миф без подтверждённого механизма. Как медитативная музыка — приятный и рабочий.,«DNA repair» is a marketing myth with no confirmed mechanism. As meditative music — pleasant and it works.,„Naprawa DNA” to marketingowy mit bez potwierdzonego mechanizmu. Jako muzyka medytacyjna — przyjemny i działa.,
dict,"«Фізіологічне зітхання» — це короткий другий довдих на піку вдиху, а потім повільний видих. Воно розправляє спалі альвеоли й ефективно виводить CO₂, швидко знижуючи збудження.","«Фізіологічне зітхання» — це короткий другий довдих на піку вдиху, а потім повільний видих. Воно розправляє спалі альвеоли й ефективно виводить CO₂, швидко знижуючи збудження.","«Физиологический вздох» — это короткий второй довдох на пике вдоха, а затем медленный выдох. Он расправляет спавшиеся альвеолы и эффективно выводит CO₂, быстро снижая возбуждение.","The «physiological sigh» is a short second inhale at the top of the breath, then a slow exhale. It re-inflates collapsed alveoli and clears CO₂ efficiently, quickly lowering arousal.","„Westchnienie fizjologiczne” to krótki drugi dobór powietrza na szczycie wdechu, a potem powolny wydech. Rozpręża zapadnięte pęcherzyki i skutecznie usuwa CO₂, szybko obniżając pobudzenie.",
dict,«Частота звільнення» — нібито допомагає відпустити страх і провину. Доказів ефективності немає.,«Частота звільнення» — нібито допомагає відпустити страх і провину. Доказів ефективності немає.,«Частота освобождения» — якобы помогает отпустить страх и вину. Доказательств эффективности нет.,The «frequency of release» — supposedly helps let go of fear and guilt. No evidence of effect.,„Częstotliwość uwolnienia” — rzekomo pomaga puścić strach i poczucie winy. Brak dowodów skuteczności.,
dict,«Частота звільнення».,«Частота звільнення».,«Частота освобождения».,The «frequency of release».,„Częstotliwość uwolnienia”.,
dict,«Частота змін» — нібито прибирає негативну енергію. Без наукової бази.,«Частота змін» — нібито прибирає негативну енергію. Без наукової бази.,«Частота перемен» — якобы убирает негативную энергию. Без научной базы.,The «frequency of change» — supposedly removes negative energy. No scientific basis.,„Częstotliwość zmian” — rzekomo usuwa negatywną energię. Bez podstaw naukowych.,
dict,«Частота змін».,«Частота змін».,«Частота перемен».,The «frequency of change».,„Częstotliwość zmian”.,
dict,«Частота очищення».,«Частота очищення».,«Частота очищения».,The «cleansing frequency».,„Częstotliwość oczyszczenia”.,
dict,або,або,или,or,lub,
dict,Або вкажи вручну:,Або вкажи вручну:,Или укажи вручную:,Or enter manually:,Lub podaj ręcznie:,
dict,Або вручну:,Або вручну:,Или вручную:,Or manually:,Lub ręcznie:,
dict,Або конкретна вправа,Або конкретна вправа,Или конкретное упражнение,Or a specific exercise,Lub konkretne ćwiczenie,
dict,Автор,Автор,Автор,Author,Autor,ru=uk?
dict,адміністратор,адміністратор,администратор,admin,administrator,
dict,Акаунт,Акаунт,Аккаунт,Account,Konto,
dict,Акаунт створено. Тепер увійди.,Акаунт створено. Тепер увійди.,Аккаунт создан. Теперь войди.,Account created. Now sign in.,Konto utworzone. Teraz się zaloguj.,
dict,Активне аналітичне мислення й бадьорість під час роботи чи навчання.,Активне аналітичне мислення й бадьорість під час роботи чи навчання.,Активное аналитическое мышление и бодрость во время работы или учёбы.,Active analytical thinking and alertness during work or study.,Aktywne myślenie analityczne i czujność podczas pracy lub nauki.,
dict,Активний помічник — поради на головній,Активний помічник — поради на головній,Активный помощник — советы на главной,Active assistant — tips on the home screen,Aktywny asystent — porady na ekranie głównym,term:помічник/наставник?
dict,активних днів,активних днів,активных дней,active days,aktywnych dni,
dict,активних тижнів,активних тижнів,активных недель,active weeks,aktywnych tygodni,
dict,Активні,Активні,Активные,Active,Aktywne,
dict,Активні цілі,Активні цілі,Активные цели,Active goals,Aktywne cele,
dict,Актуальний,Актуальний,Активный,Active,Aktywne,
dict,Алкоголь,Алкоголь,Алкоголь,Alcohol,Alkohol,ru=uk?
dict,Альтернатива денному сну,Альтернатива денному сну,Альтернатива дневному сну,An alternative to a nap,Alternatywa dla drzemki,
dict,Альтернативний музичний строй (замість стандартних 440 Гц).,Альтернативний музичний строй (замість стандартних 440 Гц).,Альтернативный музыкальный строй (вместо стандартных 440 Гц).,An alternative musical tuning (instead of the standard 440 Hz).,Alternatywny strój muzyczny (zamiast standardowych 440 Hz).,
dict,Альтернативний музичний строй замість 440 Гц. У сліпих тестах різниці у впливі не виявляють.,Альтернативний музичний строй замість 440 Гц. У сліпих тестах різниці у впливі не виявляють.,Альтернативный музыкальный строй вместо 440 Гц. В слепых тестах разницы во влиянии не выявляют.,An alternative musical tuning instead of 440 Hz. Blind tests find no difference in effect.,Alternatywny strój muzyczny zamiast 440 Hz. W testach ślepych nie wykrywa się różnicy w oddziaływaniu.,
dict,"Альфа зʼявляється, коли ти розслаблений і водночас зосереджений. Знижує тривогу, покращує настрій, навчання й творчість. Добре для перерв у роботі та легкої медитації.","Альфа зʼявляється, коли ти розслаблений і водночас зосереджений. Знижує тривогу, покращує настрій, навчання й творчість. Добре для перерв у роботі та легкої медитації.","Альфа появляется, когда ты расслаблен и одновременно сосредоточен. Снижает тревогу, улучшает настроение, обучение и творчество. Хорошо для перерывов в работе и лёгкой медитации.","Alpha appears when you're relaxed and focused at the same time. It lowers anxiety and improves mood, learning and creativity. Good for work breaks and light meditation.","Alfa pojawia się, gdy jesteś zrelaksowany i jednocześnie skupiony. Obniża lęk, poprawia nastrój, naukę i kreatywność. Dobra na przerwy w pracy i lekką medytację.",
dict,Аналіз,Аналіз,Анализ,Analysis,Analiza,
dict,Аналіз тижня ›,Аналіз тижня ›,Анализ недели ›,Weekly review ›,Analiza tygodnia ›,
dict,Аналітика,Аналітика,Аналитика,Analytics,Analityka,
dict,Антистрес,Антистрес,Антистресс,Anti-stress,Antystres,
dict,Антистрес і релаксація,Антистрес і релаксація,Антистресс и релаксация,Anti-stress & relaxation,Antystres i relaksacja,
dict,Асистент (ШІ),Асистент (ШІ),Ассистент (ИИ),Assistant (AI),Asystent (AI),
dict,"Асоціюється з поверненням до внутрішнього чуття, спокоєм і духовним порядком. Слухають для зосередження всередину.","Асоціюється з поверненням до внутрішнього чуття, спокоєм і духовним порядком. Слухають для зосередження всередину.","Ассоциируется с возвращением к внутреннему чутью, спокойствием и духовным порядком. Слушают для сосредоточения внутрь.","Associated with returning to your inner sense, calm and spiritual order. People listen to focus inward.","Kojarzona z powrotem do wewnętrznego czucia, spokojem i porządkiem duchowym. Słucha się dla skupienia do wewnątrz.",
dict,Атомні звички,Атомні звички,Атомные привычки,Atomic Habits,Atomowe nawyki,
dict,Аутогенне тренування,Аутогенне тренування,Аутогенная тренировка,Autogenic training,Trening autogenny,
dict,Багато хто описує музику в 432 Гц як «теплішу» й мʼякшу для слуху. Приємний фон для розслаблення й роботи.,Багато хто описує музику в 432 Гц як «теплішу» й мʼякшу для слуху. Приємний фон для розслаблення й роботи.,Многие описывают музыку в 432 Гц как «более тёплую» и мягче для слуха. Приятный фон для расслабления и работы.,Many describe music at 432 Hz as «warmer» and softer on the ear. A pleasant background for relaxing and working.,Wielu opisuje muzykę w 432 Hz jako „cieplejszą” i łagodniejszą dla ucha. Przyjemne tło do relaksu i pracy.,
dict,"Бажання вдихнути виникає тоді, коли в крові зростає рівень CO₂, а не коли закінчується кисень. Хеморецептори реагують саме на вуглекислий газ. Тому тренована «толерантність до CO₂» дає відчуття спокою й контролю навіть тоді, коли тіло сигналізує дихати.","Бажання вдихнути виникає тоді, коли в крові зростає рівень CO₂, а не коли закінчується кисень. Хеморецептори реагують саме на вуглекислий газ. Тому тренована «толерантність до CO₂» дає відчуття спокою й контролю навіть тоді, коли тіло сигналізує дихати.","Желание вдохнуть возникает, когда в крови растёт уровень CO₂, а не когда заканчивается кислород. Хеморецепторы реагируют именно на углекислый газ. Поэтому тренированная «толерантность к CO₂» даёт спокойствие и контроль даже тогда, когда тело сигналит дышать.","The urge to breathe appears as blood CO₂ rises, not when oxygen runs out. Chemoreceptors react to carbon dioxide. So a trained CO₂ tolerance brings calm and control even when the body signals you to breathe.","Chęć nabrania powietrza pojawia się, gdy rośnie poziom CO₂ we krwi, a nie gdy kończy się tlen. Chemoreceptory reagują właśnie na dwutlenek węgla. Dlatego wytrenowana „tolerancja na CO₂” daje poczucie spokoju i kontroli nawet wtedy, gdy ciało sygnalizuje, by oddychać.",
dict,Баланс,Баланс,Баланс,Balance,Saldo,ru=uk?
dict,"Баланс, рівний пульс (HRV)","Баланс, рівний пульс (HRV)","Баланс, ровный пульс (HRV)","Balance, steady pulse (HRV)","Równowaga, równy puls (HRV)",
dict,Балансує нервову систему,Балансує нервову систему,Балансирует нервную систему,Balances the nervous system,Równoważy układ nerwowy,
dict,Бали за корисний час,Бали за корисний час,Баллы за полезное время,Points for useful time,Punkty za pożyteczny czas,
dict,"Бали: 1 хвилина практики = 1 бал, плюс бали за завдання. Витрачай їх на винагороди, які сам собі придумаєш.","Бали: 1 хвилина практики = 1 бал, плюс бали за завдання. Витрачай їх на винагороди, які сам собі придумаєш.","Баллы: 1 минута практики = 1 балл, плюс баллы за задания. Трать их на награды, которые сам себе придумаешь.","Points: 1 minute of practice = 1 point, plus points for goals. Spend them on rewards you set for yourself.","Punkty: 1 minuta praktyki = 1 punkt, plus punkty za zadania. Wydawaj je na nagrody, które sam sobie wymyślisz.",
dict,Балів,Балів,Баллов,Points,Punkty,
dict,Без,Без,Без,None,Bez,ru=uk?
dict,Без доказів,Без доказів,Без доказательств,No evidence,Bez dowodów,
dict,Без звички,Без звички,Без привычки,Quit a habit,Bez nawyku,
dict,без зривів,без зривів,без срывов,without slips,bez wpadek,
dict,"Без магії й обіцянок — проста система, що тримає тебе в русі щодня й показує, як ти крок за кроком стаєш стійкішим до того, що тебе оточує.","Без магії й обіцянок — проста система, що тримає тебе в русі щодня й показує, як ти крок за кроком стаєш стійкішим до того, що тебе оточує.","Без магии и обещаний — простая система, которая держит тебя в движении каждый день и показывает, как ты шаг за шагом становишься устойчивее к тому, что тебя окружает.","No magic, no promises — just a simple system that keeps you moving every day and shows how, step by step, you grow more resilient to what surrounds you.","Bez magii i obietnic — prosty system, który utrzymuje cię w ruchu każdego dnia i pokazuje, jak krok po kroku stajesz się odporniejszy na to, co cię otacza.",
dict,Без назви,Без назви,Без названия,Untitled,Bez nazwy,
dict,Без наукової бази.,Без наукової бази.,Без научной базы.,No scientific basis.,Bez podstaw naukowych.,
dict,Без опису.,Без опису.,Без описания.,No description.,Bez opisu.,
dict,Без підтверджених механізмів.,Без підтверджених механізмів.,Без подтверждённых механизмов.,No confirmed mechanisms.,Bez potwierdzonych mechanizmów.,
dict,Без імені,Без імені,Без имени,No name,Bez imienia,
dict,Березень,Березень,Март,March,Marzec,
dict,"Бета домінує під час роботи, аналізу й розвʼязання задач. Допомагає зібратися та тримати фокус, коли треба бути продуктивним і бадьорим.","Бета домінує під час роботи, аналізу й розвʼязання задач. Допомагає зібратися та тримати фокус, коли треба бути продуктивним і бадьорим.","Бета доминирует во время работы, анализа и решения задач. Помогает собраться и держать фокус, когда нужно быть продуктивным и бодрым.","Beta dominates during work, analysis and problem-solving. It helps you gather yourself and hold focus when you need to be productive and alert.","Beta dominuje podczas pracy, analizy i rozwiązywania zadań. Pomaga się zebrać i utrzymać skupienie, gdy trzeba być produktywnym i czujnym.",
dict,"Блукаючий нерв (вагус) — головний канал парасимпатичної системи. Його активність повʼязана зі спокоєм, травленням і відновленням.","Блукаючий нерв (вагус) — головний канал парасимпатичної системи. Його активність повʼязана зі спокоєм, травленням і відновленням.","Блуждающий нерв (вагус) — главный канал парасимпатической системы. Его активность связана со спокойствием, пищеварением и восстановлением.","The vagus nerve is the main channel of the parasympathetic system. Its activity is linked to calm, digestion and recovery.","Nerw błędny (wagus) to główny kanał układu przywspółczulnego. Jego aktywność wiąże się ze spokojem, trawieniem i regeneracją.",
dict,Блукаючий нерв і відновлення,Блукаючий нерв і відновлення,Блуждающий нерв и восстановление,The vagus nerve and recovery,Nerw błędny i regeneracja,
dict,Бокові мʼязи кора,Бокові мʼязи кора,Боковые мышцы кора,Side core muscles,Boczne mięśnie core,
dict,"Бокові мʼязи кора, баланс","Бокові мʼязи кора, баланс","Боковые мышцы кора, баланс","Side core muscles, balance","Boczne mięśnie core, równowaga",
dict,будь-яка затримка,будь-яка затримка,любая задержка,any hold,dowolne wstrzymanie,
dict,будь-яке утримання,будь-яке утримання,любое удержание,any hold,dowolne wytrzymanie,
dict,"Бура тканина гріє тіло, спалюючи енергію","Бура тканина гріє тіло, спалюючи енергію","Бурая ткань греет тело, сжигая энергию",Brown fat warms the body by burning energy,"Brunatna tkanka grzeje ciało, spalając energię",
dict,Бібліотека,Бібліотека,Библиотека,Library,Biblioteka,
dict,Бібліофіл,Бібліофіл,Библиофил,Bibliophile,Bibliofil,
dict,"Біг, скакалка, HIIT — на час","Біг, скакалка, HIIT — на час","Бег, скакалка, HIIT — на время","Running, rope, HIIT — timed","Bieg, skakanka, HIIT — na czas",
dict,Більше енергії та ясності,Більше енергії та ясності,Больше энергии и ясности,More energy and clarity,Więcej energii i jasności,
dict,"Бінаурал, Solfeggio, своя музика","Бінаурал, Solfeggio, своя музика","Бинаурал, Solfeggio, своя музыка","Binaural, Solfeggio, your own music","Binaural, Solfeggio, własna muzyka",
dict,"Бінаурал-ритм — слухай у навушниках, інакше ефекту не буде.","Бінаурал-ритм — слухай у навушниках, інакше ефекту не буде.","Бинаурал-ритм — слушай в наушниках, иначе эффекта не будет.","A binaural beat — listen with headphones, otherwise there's no effect.","Rytm binauralny — słuchaj w słuchawkach, inaczej nie będzie efektu.",
dict,"Бінаурал-ритми мають попередню наукову підтримку, ефект індивідуальний. Потрібні навушники.","Бінаурал-ритми мають попередню наукову підтримку, ефект індивідуальний. Потрібні навушники.","Бинаурал-ритмы имеют предварительную научную поддержку, эффект индивидуальный. Нужны наушники.",Binaural beats have preliminary scientific support; the effect is individual. Headphones required.,"Rytmy binauralne mają wstępne wsparcie naukowe, efekt jest indywidualny. Wymagane słuchawki.",
dict,"Бінаурал-ритми: у вуха йдуть трохи різні частоти, мозок чує «биття» їхньої різниці. Це єдина категорія тут із попередньою науковою базою. Слухай лише в навушниках.","Бінаурал-ритми: у вуха йдуть трохи різні частоти, мозок чує «биття» їхньої різниці. Це єдина категорія тут із попередньою науковою базою. Слухай лише в навушниках.","Бинаурал-ритмы: в уши идут немного разные частоты, мозг слышит «биение» их разницы. Это единственная категория здесь с предварительной научной базой. Слушай только в наушниках.","Binaural beats: slightly different frequencies go into each ear, and the brain hears the «beat» of their difference. This is the only category here with a preliminary scientific basis. Listen with headphones only.","Rytmy binauralne: do uszu trafiają nieco różne częstotliwości, a mózg słyszy „bicie” ich różnicy. To jedyna kategoria tutaj ze wstępną bazą naukową. Słuchaj tylko w słuchawkach.",
dict,Бінаурали мають лише попередню базу; «Solfeggio» і 432 Гц — традиція без доказів.,Бінаурали мають лише попередню базу; «Solfeggio» і 432 Гц — традиція без доказів.,Бинауралы имеют лишь предварительную базу; «Solfeggio» и 432 Гц — традиция без доказательств.,Binaural beats have only a preliminary basis; «Solfeggio» and 432 Hz are tradition without evidence.,Dźwięki binauralne mają jedynie wstępne podstawy; „Solfeggio” i 432 Hz to tradycja bez dowodów.,
dict,"Бінаурали — попередні, неоднозначні дані","Бінаурали — попередні, неоднозначні дані","Бинауралы — предварительные, неоднозначные данные","Binaural beats — preliminary, mixed data","Binauralne — wstępne, niejednoznaczne dane",
dict,Бінауральні,Бінауральні,Бинауральные,Binaural,Binauralne,
dict,"Бінауральні ритми (трохи різні частоти в кожне вухо) досліджують для розслаблення й уваги, але докази поки слабкі й суперечливі.","Бінауральні ритми (трохи різні частоти в кожне вухо) досліджують для розслаблення й уваги, але докази поки слабкі й суперечливі.","Бинауральные ритмы (немного разные частоты в каждое ухо) исследуют для расслабления и внимания, но доказательства пока слабые и противоречивые.","Binaural beats (slightly different frequencies in each ear) are studied for relaxation and attention, but the evidence is still weak and mixed.","Rytmy binauralne (nieco różne częstotliwości do każdego ucha) bada się pod kątem relaksu i uwagi, ale dowody są na razie słabe i niejednoznaczne.",
dict,Бічна планка,Бічна планка,Боковая планка,Side plank,Deska boczna,
dict,В. Хоф · breath,В. Хоф · breath,В. Хоф · дихання,W. Hof · breath,W. Hof · breath,pl=en?
dict,"Вага, кг","Вага, кг","Вес, кг","Weight, kg","Waga, kg",
