source,key/id,uk,es,fr,de,note
dict,1–3 рівень,1–3 рівень,Niveles 1–3,Niveaux 1–3,Level 1–3,
dict,2 — Запах,2 — Запах,2 — Olor,2 — Odeur,2 — Geruch,
dict,3 книги,3 книги,3 libros,3 livres,3 Bücher,
dict,3 хв поспіль,3 хв поспіль,3 min seguidos,3 min d'affilée,3 Min am Stück,
dict,3 — Відчуваю,3 — Відчуваю,3 — Siento,3 — Je ressens,3 — Ich fühle,
dict,30 днів,30 днів,30 días,30 jours,30 Tage,
dict,30 хв,30 хв,30 min,30 min,30 Min.,
dict,300 хв вправ,300 хв вправ,300 min de ejercicio,300 min d'exercice,300 Min Übung,
dict,4 — Чую,4 — Чую,4 — Oigo,4 — J'entends,4 — Ich höre,
dict,"40 Гц повʼязують із памʼяттю, концентрацією та ясністю мислення — це найкраще досліджений діапазон серед бінаурал-ритмів. Слухають для глибокої розумової роботи.","40 Гц повʼязують із памʼяттю, концентрацією та ясністю мислення — це найкраще досліджений діапазон серед бінаурал-ритмів. Слухають для глибокої розумової роботи.","Se vincula 40 Hz con la memoria, la concentración y la claridad mental — el rango mejor estudiado entre los ritmos binaurales. Se escucha para el trabajo mental profundo.","On associe 40 Hz à la mémoire, la concentration et la clarté mentale — la gamme la mieux étudiée parmi les rythmes binauraux. On l'écoute pour le travail mental profond.","40 Hz wird mit Gedächtnis, Konzentration und Denkklarheit verbunden — der am besten untersuchte Bereich unter den binauralen Beats. Man hört ihn für tiefe geistige Arbeit.",
dict,4–6 рівень,4–6 рівень,Niveles 4–6,Niveaux 4–6,Level 4–6,
dict,5 год сумарно,5 год сумарно,5 h en total,5 h au total,5 Std insgesamt,
dict,5 хв,5 хв,5 min,5 min,5 Min.,
dict,5 — Бачу,5 — Бачу,5 — Veo,5 — Je vois,5 — Ich sehe,
dict,"5–10 хвилин надворі вранці дають набагато більше люксів, ніж кімнатне освітлення, навіть у хмарну погоду.","5–10 хвилин надворі вранці дають набагато більше люксів, ніж кімнатне освітлення, навіть у хмарну погоду.","5–10 minutos al aire libre por la mañana dan muchos más lux que la luz interior, incluso en un día nublado.","5–10 minutes dehors le matin donnent bien plus de lux que l'éclairage intérieur, même par temps nuageux.","5–10 Minuten morgens draußen liefern weit mehr Lux als Raumlicht, selbst bei bewölktem Wetter.",
dict,5–10 хвилин надворі — вже багато,5–10 хвилин надворі — вже багато,5–10 minutos al aire libre ya es mucho,"5–10 minutes dehors, c'est déjà beaucoup",5–10 Minuten draußen sind schon viel,
dict,60 хвилин,60 хвилин,60 minutos,60 minutes,60 Minuten,
dict,600 хв,600 хв,600 min,600 min,600 Min,
dict,600 хв холоду,600 хв холоду,600 min de frío,600 min de froid,600 Min Kälte,
dict,7 днів,7 днів,7 días,7 jours,7 Tage,
dict,7 днів холоду,7 днів холоду,7 días de frío,7 jours de froid,7 Tage Kälte,
dict,7–9 рівень,7–9 рівень,Niveles 7–9,Niveaux 7–9,Level 7–9,
dict,8 годин (фон),8 годин (фон),8 horas (de fondo),8 heures (fond),8 Stunden (Hintergrund),
dict,90 днів,90 днів,90 días,90 jours,90 Tage,
dict,"HRV індивідуальна, тож порівнюй із собою, а не з іншими. Найбільше на неї впливають сон, дихання, рух і відновлення.","HRV індивідуальна, тож порівнюй із собою, а не з іншими. Найбільше на неї впливають сон, дихання, рух і відновлення.","La HRV es individual, así que compárate con tu propio historial, no con otros. La afectan sobre todo el sueño, la respiración, el movimiento y la recuperación.","La HRV est individuelle : compare-toi à toi-même, pas aux autres. Le sommeil, la respiration, le mouvement et la récupération l'influencent le plus.","HRV ist individuell, vergleiche dich also mit dir selbst, nicht mit anderen. Am stärksten beeinflussen sie Schlaf, Atmung, Bewegung und Erholung.",
dict,HRV — вікно у нервову систему,HRV — вікно у нервову систему,La HRV es una ventana al sistema nervioso,La HRV est une fenêtre sur le système nerveux,HRV ist ein Fenster ins Nervensystem,
dict,"HRV — це варіація інтервалів між ударами серця. Вища HRV зазвичай означає, що тіло легко перемикається між мобілізацією й відновленням.","HRV — це варіація інтервалів між ударами серця. Вища HRV зазвичай означає, що тіло легко перемикається між мобілізацією й відновленням.",La HRV es la variación de los intervalos entre latidos. Una HRV alta suele indicar que el cuerpo alterna con facilidad entre movilización y recuperación.,La HRV est la variation des intervalles entre battements. Une HRV élevée signifie en général que le corps bascule facilement entre mobilisation et récupération.,"HRV ist die Schwankung der Intervalle zwischen Herzschlägen. Höhere HRV bedeutet meist, dass der Körper leicht zwischen Mobilisierung und Erholung wechselt.",
dict,"NSDR (non-sleep deep rest) — це спокійне лежання з керуванням увагою й диханням. Воно знижує збудження й допомагає відновитися, навіть без справжнього сну.","NSDR (non-sleep deep rest) — це спокійне лежання з керуванням увагою й диханням. Воно знижує збудження й допомагає відновитися, навіть без справжнього сну.","NSDR (non-sleep deep rest) es estar tumbado con calma, guiando la atención y la respiración. Baja la activación y ayuda a recuperarte, incluso sin dormir de verdad.","NSDR (non-sleep deep rest), c'est rester allongé calmement en guidant l'attention et la respiration. Cela réduit l'excitation et aide à récupérer, même sans vrai sommeil.","NSDR (non-sleep deep rest) ist ruhiges Liegen mit gelenkter Aufmerksamkeit und Atmung. Es senkt die Erregung und hilft bei der Erholung, auch ohne echten Schlaf.",
dict,NSDR / йога-нідра для відновлення вдень,NSDR / йога-нідра для відновлення вдень,NSDR / yoga nidra para recuperar durante el día,NSDR / yoga nidra pour récupérer en journée,NSDR / Yoga Nidra zur Erholung am Tag,
dict,"Resonance перетворює реальні практики — дихання, холод, рух, медитацію, читання — на досвід і рівні. Прокачуєш не аватар, а себе. Сталість важливіша за інтенсивність.","Resonance перетворює реальні практики — дихання, холод, рух, медитацію, читання — на досвід і рівні. Прокачуєш не аватар, а себе. Сталість важливіша за інтенсивність.","Resonance convierte prácticas reales —respiración, frío, movimiento, meditación, lectura— en experiencia y niveles. Mejoras a ti, no a un avatar. La constancia importa más que la intensidad.","Resonance transforme des pratiques réelles — respiration, froid, mouvement, méditation, lecture — en expérience et niveaux. Tu progresses toi-même, pas un avatar. La régularité prime sur l'intensité.","Resonance verwandelt echte Praktiken — Atmung, Kälte, Bewegung, Meditation, Lesen — in Erfahrung und Level. Du entwickelst dich selbst, keinen Avatar. Beständigkeit zählt mehr als Intensität.",
dict,Resonance — звіт,Resonance — звіт,Resonance — informe,Resonance — rapport,Resonance — Bericht,
dict,"Resonance — це персональний компаньйон для тілесних і ментальних практик. Ідея проста: ти — свій персонаж, і прокачуєш не аватар, а себе.","Resonance — це персональний компаньйон для тілесних і ментальних практик. Ідея проста: ти — свій персонаж, і прокачуєш не аватар, а себе.","Resonance es un compañero personal para prácticas físicas y mentales. La idea es simple: tú eres tu personaje y no mejoras un avatar, sino a ti.","Resonance est un compagnon personnel pour les pratiques physiques et mentales. L'idée est simple : tu es ton personnage, et tu progresses toi-même, pas un avatar.","Resonance ist ein persönlicher Begleiter für körperliche und mentale Praktiken. Die Idee ist einfach: Du bist dein Charakter und entwickelst dich selbst, keinen Avatar.",
dict,"Russo et al., 2017 — Breathe (огляд)","Russo et al., 2017 — Breathe (огляд)","Russo et al., 2017 — Breathe (revisión)","Russo et al., 2017 — Breathe (revue)","Russo et al., 2017 — Breathe (Übersicht)",
dict,Solfeggio / 432 Гц — без доказів,Solfeggio / 432 Гц — без доказів,Solfeggio / 432 Hz — sin pruebas,Solfeggio / 432 Hz — sans preuves,Solfeggio / 432 Hz — ohne Belege,
dict,"Solfeggio-тон, повʼязаний із відновленням.","Solfeggio-тон, повʼязаний із відновленням.",Un tono Solfeggio asociado a la recuperación.,Un ton Solfeggio associé à la récupération.,"Ein Solfeggio-Ton, der mit Erholung assoziiert wird.",
dict,"Solfeggio-тони (174–963 Гц) — традиція, а не доведена наука: прямого фізіологічного ефекту немає. Але приємна музика й усвідомлене слухання реально розслабляють.","Solfeggio-тони (174–963 Гц) — традиція, а не доведена наука: прямого фізіологічного ефекту немає. Але приємна музика й усвідомлене слухання реально розслабляють.","Los tonos Solfeggio (174–963 Hz) son tradición, no ciencia probada: no hay efecto fisiológico directo. Pero la música agradable y la escucha consciente sí relajan.","Les tons Solfeggio (174–963 Hz) sont une tradition, pas une science prouvée : aucun effet physiologique direct. Mais une musique agréable et une écoute consciente détendent vraiment.","Solfeggio-Töne (174–963 Hz) sind Tradition, keine belegte Wissenschaft: kein direkter physiologischer Effekt. Aber angenehme Musik und bewusstes Hören entspannen wirklich.",
dict,"«Solfeggio»-частоти та 432 Гц — це сучасний міф без наукового підґрунтя. Цінність прослуховування — у самому ритуалі спокою й уважності, а не в магії конкретних чисел.","«Solfeggio»-частоти та 432 Гц — це сучасний міф без наукового підґрунтя. Цінність прослуховування — у самому ритуалі спокою й уважності, а не в магії конкретних чисел.","Las frecuencias ""Solfeggio"" y los 432 Hz son un mito moderno sin base científica. El valor de escuchar está en el ritual de calma y atención, no en la magia de números concretos.","Les fréquences « Solfeggio » et le 432 Hz sont un mythe moderne sans base scientifique. La valeur de l'écoute tient au rituel de calme et d'attention, pas à la magie de chiffres précis.","„Solfeggio“-Frequenzen und 432 Hz sind ein moderner Mythos ohne wissenschaftliche Grundlage. Der Wert des Hörens liegt im Ritual von Ruhe und Achtsamkeit, nicht in der Magie bestimmter Zahlen.",
dict,«Детокс-частота» — нібито очищує організм і дає ясність. Наукових даних немає.,«Детокс-частота» — нібито очищує організм і дає ясність. Наукових даних немає.,"La ""frecuencia detox"": supuestamente limpia el organismo y da claridad. Sin datos científicos.",La « fréquence détox » : nettoierait l'organisme et donnerait de la clarté. Aucune donnée scientifique.,Die „Detox-Frequenz“ — soll den Körper reinigen und Klarheit geben. Keine wissenschaftlichen Daten.,
dict,«Ремонт ДНК» — маркетинговий міф без підтвердженого механізму. Як медитативна музика — приємний і робочий.,«Ремонт ДНК» — маркетинговий міф без підтвердженого механізму. Як медитативна музика — приємний і робочий.,"La ""reparación del ADN"" es un mito de marketing sin mecanismo confirmado. Como música meditativa, es agradable y funciona.","La « réparation de l'ADN » est un mythe marketing sans mécanisme confirmé. Comme musique méditative, agréable et efficace.",„DNA-Reparatur“ ist ein Marketingmythos ohne bestätigten Mechanismus. Als Meditationsmusik — angenehm und wirksam.,
dict,"«Фізіологічне зітхання» — це короткий другий довдих на піку вдиху, а потім повільний видих. Воно розправляє спалі альвеоли й ефективно виводить CO₂, швидко знижуючи збудження.","«Фізіологічне зітхання» — це короткий другий довдих на піку вдиху, а потім повільний видих. Воно розправляє спалі альвеоли й ефективно виводить CO₂, швидко знижуючи збудження.","El ""suspiro fisiológico"" es una segunda inhalación breve en el punto máximo, seguida de un exhale lento. Reexpande los alvéolos colapsados y elimina CO₂ eficazmente, bajando rápido la activación.","Le « soupir physiologique » est une courte seconde inspiration au sommet du souffle, suivie d'une expiration lente. Il rouvre les alvéoles affaissées et évacue efficacement le CO₂, réduisant vite l'excitation.","Der „physiologische Seufzer“ ist ein kurzes zweites Einatmen am Höhepunkt, gefolgt von langsamem Ausatmen. Er entfaltet kollabierte Lungenbläschen und leitet CO₂ effizient ab, was die Erregung schnell senkt.",
dict,«Частота звільнення» — нібито допомагає відпустити страх і провину. Доказів ефективності немає.,«Частота звільнення» — нібито допомагає відпустити страх і провину. Доказів ефективності немає.,"La ""frecuencia de liberación"": supuestamente ayuda a soltar el miedo y la culpa. Sin pruebas de eficacia.",La « fréquence de libération » : aiderait à lâcher la peur et la culpabilité. Aucune preuve d'efficacité.,"Die „Frequenz der Befreiung“ — soll helfen, Angst und Schuld loszulassen. Kein Wirksamkeitsnachweis.",
dict,«Частота звільнення».,«Частота звільнення».,"La ""frecuencia de liberación"".",La « fréquence de libération ».,Die „Frequenz der Befreiung“.,
dict,«Частота змін» — нібито прибирає негативну енергію. Без наукової бази.,«Частота змін» — нібито прибирає негативну енергію. Без наукової бази.,"La ""frecuencia del cambio"": supuestamente elimina la energía negativa. Sin base científica.",La « fréquence du changement » : ôterait l'énergie négative. Sans base scientifique.,Die „Frequenz der Veränderung“ — soll negative Energie entfernen. Ohne wissenschaftliche Basis.,
dict,«Частота змін».,«Частота змін».,"La ""frecuencia del cambio"".",La « fréquence du changement ».,Die „Frequenz der Veränderung“.,
dict,«Частота очищення».,«Частота очищення».,"La ""frecuencia de limpieza"".",La « fréquence de nettoyage ».,Die „Frequenz der Reinigung“.,
dict,"Є дані, що регулярні ізометричні утримання можуть допомагати знижувати тиск у спокої. Головне — дихати рівно й не затримувати дихання під час напруги.","Є дані, що регулярні ізометричні утримання можуть допомагати знижувати тиск у спокої. Головне — дихати рівно й не затримувати дихання під час напруги.",Hay datos de que los maintiens isométricos regulares pueden ayudar a bajar la presión en reposo. Lo clave: respirar parejo y no aguantar la respiración bajo tensión.,Des données suggèrent que des maintiens isométriques réguliers peuvent aider à baisser la tension au repos. L'essentiel : respirer régulièrement et ne pas bloquer sa respiration sous tension.,"Es gibt Hinweise, dass regelmäßige isometrische Haltungen den Ruheblutdruck senken können. Wichtig: gleichmäßig atmen und unter Spannung nicht die Luft anhalten.",
dict,"Є контрольовані дослідження, але вибірки малі, а ефекти короткочасні.","Є контрольовані дослідження, але вибірки малі, а ефекти короткочасні.","Hay estudios controlados, pero las muestras son pequeñas y los efectos breves.","Il existe des études contrôlées, mais les échantillons sont petits et les effets brefs.","Es gibt kontrollierte Studien, aber die Stichproben sind klein und die Effekte kurzlebig.",
dict,Є попередня база. Ефект мʼякший за тета/дельта.,Є попередня база. Ефект мʼякший за тета/дельта.,Hay base preliminar. El efecto es más suave que theta/delta.,Il existe une base préliminaire. L'effet est plus doux que thêta/delta.,Es gibt eine vorläufige Basis. Die Wirkung ist milder als Theta/Delta.,
dict,"Ізометричні утримання (планка, стілець біля стіни, вис) розвивають силу й стабільність без руху в суглобі. Вони ще й добре зміцнюють сухожилля.","Ізометричні утримання (планка, стілець біля стіни, вис) розвивають силу й стабільність без руху в суглобі. Вони ще й добре зміцнюють сухожилля.","Los maintiens isométricos (plancha, silla en la pared, colgarse) desarrollan fuerza y estabilidad sin movimiento articular. Además fortalecen bien los tendones.","Les maintiens isométriques (planche, chaise au mur, suspension) développent force et stabilité sans mouvement articulaire. Ils renforcent aussi bien les tendons.","Isometrische Haltungen (Plank, Wandsitz, Hang) entwickeln Kraft und Stabilität ohne Gelenkbewegung. Sie stärken zudem die Sehnen gut.",
dict,Ізометрія: сила без руху,Ізометрія: сила без руху,Isometría: fuerza sin movimiento,Isométrie : force sans mouvement,Isometrie: Kraft ohne Bewegung,
dict,Ім'я наставника,Ім'я наставника,Nombre del mentor,Nom du mentor,Name des Mentors,
dict,Імʼя,Імʼя,Nombre,Nom,Name,
dict,Імʼя Прізвище,Імʼя Прізвище,Nombre Apellido,Prénom Nom,Vorname Nachname,
dict,Ім’я людини…,Ім’я людини…,Nombre de la persona…,Nom de la personne…,Name der Person…,
dict,Інше,Інше,Otro,Autre,Sonstiges,
dict,Або вкажи вручну:,Або вкажи вручну:,O indícalo manualmente:,Ou indique manuellement :,Oder gib es manuell an:,
dict,Або вручну:,Або вручну:,O manualmente:,Ou manuellement :,Oder manuell:,
dict,Або конкретна вправа,Або конкретна вправа,O un ejercicio concreto,Ou un exercice précis,Oder eine bestimmte Übung,
dict,Автор,Автор,Autor,Auteur,Autor,
dict,Акаунт,Акаунт,Cuenta,Compte,Konto,
dict,Акаунт створено. Тепер увійди.,Акаунт створено. Тепер увійди.,Cuenta creada. Ahora inicia sesión.,Compte créé. Connecte-toi maintenant.,Konto erstellt. Melde dich jetzt an.,
dict,Активне аналітичне мислення й бадьорість під час роботи чи навчання.,Активне аналітичне мислення й бадьорість під час роботи чи навчання.,Pensamiento analítico activo y vitalidad durante el trabajo o el estudio.,Pensée analytique active et vivacité pendant le travail ou l'étude.,Aktives analytisches Denken und Wachheit bei Arbeit oder Lernen.,
dict,Активний наставник — поради на головній,Активний наставник — поради на головній,Mentor activo — consejos en la pantalla principal,Mentor actif — conseils sur l'écran d'accueil,Aktiver Mentor — Tipps auf dem Startbildschirm,
dict,Активні,Активні,Activos,Actifs,Aktive,
dict,Активні цілі,Активні цілі,Objetivos activos,Objectifs actifs,Aktive Ziele,
dict,Актуальний,Актуальний,Activo,Actif,Aktiv,
dict,Алкоголь,Алкоголь,Alcohol,Alcool,Alkohol,
dict,Альтернатива денному сну,Альтернатива денному сну,Una alternativa a la siesta,Une alternative à la sieste,Eine Alternative zum Mittagsschlaf,
dict,Альтернативний музичний строй (замість стандартних 440 Гц).,Альтернативний музичний строй (замість стандартних 440 Гц).,Una afinación musical alternativa (en vez de los 440 Hz estándar).,Un accordage musical alternatif (au lieu des 440 Hz standard).,Eine alternative Musikstimmung (statt der üblichen 440 Hz).,
dict,Альтернативний музичний строй замість 440 Гц. У сліпих тестах різниці у впливі не виявляють.,Альтернативний музичний строй замість 440 Гц. У сліпих тестах різниці у впливі не виявляють.,Una afinación musical alternativa en vez de 440 Hz. En pruebas ciegas no se detecta diferencia en el efecto.,"Un accordage musical alternatif au lieu de 440 Hz. En tests aveugles, aucune différence d'effet n'est détectée.",Eine alternative Musikstimmung statt 440 Hz. In Blindtests wird kein Wirkungsunterschied gefunden.,
dict,"Альфа зʼявляється, коли ти розслаблений і водночас зосереджений. Знижує тривогу, покращує настрій, навчання й творчість. Добре для перерв у роботі та легкої медитації.","Альфа зʼявляється, коли ти розслаблений і водночас зосереджений. Знижує тривогу, покращує настрій, навчання й творчість. Добре для перерв у роботі та легкої медитації.","El alfa aparece en un estado relajado y a la vez concentrado. Baja la ansiedad, mejora el ánimo, el aprendizaje y la creatividad. Bueno para pausas en el trabajo y meditación ligera.","L'alpha apparaît dans un état à la fois détendu et concentré. Il réduit l'anxiété, améliore l'humeur, l'apprentissage et la créativité. Bon pour les pauses au travail et une méditation légère.","Alpha erscheint, wenn du entspannt und zugleich konzentriert bist. Es senkt Angst, verbessert Stimmung, Lernen und Kreativität. Gut für Arbeitspausen und leichte Meditation.",
dict,Аналіз,Аналіз,Análisis,Analyse,Analyse,
dict,Аналіз тижня ›,Аналіз тижня ›,Análisis de la semana ›,Bilan de la semaine ›,Wochenanalyse ›,
dict,Аналітика,Аналітика,Analíticas,Statistiques,Analyse,
dict,Антистрес,Антистрес,Antiestrés,Anti-stress,Anti-Stress,
dict,Антистрес і релаксація,Антистрес і релаксація,Antiestrés y relajación,Anti-stress et relaxation,Anti-Stress und Entspannung,
dict,"Асоціюється з поверненням до внутрішнього чуття, спокоєм і духовним порядком. Слухають для зосередження всередину.","Асоціюється з поверненням до внутрішнього чуття, спокоєм і духовним порядком. Слухають для зосередження всередину.","Se asocia con volver al sentir interior, la calma y el orden espiritual. Se escucha para concentrarse hacia dentro.","Associé au retour au ressenti intérieur, au calme et à l'ordre spirituel. On l'écoute pour se concentrer vers l'intérieur.","Assoziiert mit der Rückkehr zum inneren Gespür, Ruhe und spiritueller Ordnung. Man hört ihn, um sich nach innen zu konzentrieren.",
dict,Атомні звички,Атомні звички,Hábitos atómicos,Un rien peut tout changer,Die 1%-Methode,
dict,Аутогенне тренування,Аутогенне тренування,Entrenamiento autógeno,Training autogène,Autogenes Training,
dict,Багато хто описує музику в 432 Гц як «теплішу» й мʼякшу для слуху. Приємний фон для розслаблення й роботи.,Багато хто описує музику в 432 Гц як «теплішу» й мʼякшу для слуху. Приємний фон для розслаблення й роботи.,"Muchos describen la música a 432 Hz como ""más cálida"" y suave al oído. Un fondo agradable para relajarse y trabajar.",Beaucoup décrivent la musique à 432 Hz comme « plus chaude » et douce à l'oreille. Un fond agréable pour se détendre et travailler.,Viele beschreiben Musik in 432 Hz als „wärmer“ und weicher fürs Ohr. Ein angenehmer Hintergrund zum Entspannen und Arbeiten.,
dict,"Бажання вдихнути виникає тоді, коли в крові зростає рівень CO₂, а не коли закінчується кисень. Хеморецептори реагують саме на вуглекислий газ. Тому тренована «толерантність до CO₂» дає відчуття спокою й контролю навіть тоді, коли тіло сигналізує дихати.","Бажання вдихнути виникає тоді, коли в крові зростає рівень CO₂, а не коли закінчується кисень. Хеморецептори реагують саме на вуглекислий газ. Тому тренована «толерантність до CO₂» дає відчуття спокою й контролю навіть тоді, коли тіло сигналізує дихати.","Las ganas de inhalar aparecen cuando sube el CO₂ en sangre, no cuando se acaba el oxígeno. Los quimiorreceptores reaccionan justamente al dióxido de carbono. Por eso una ""tolerancia al CO₂"" entrenada da calma y control incluso cuando el cuerpo pide respirar.","L'envie d'inspirer survient quand le CO₂ augmente dans le sang, pas quand l'oxygène manque. Les chémorécepteurs réagissent au dioxyde de carbone. Ainsi, une « tolérance au CO₂ » entraînée procure calme et contrôle, même quand le corps réclame de respirer.","Der Drang einzuatmen entsteht, wenn der CO₂-Spiegel im Blut steigt, nicht wenn der Sauerstoff ausgeht. Chemorezeptoren reagieren gerade auf Kohlendioxid. Deshalb gibt eine trainierte „CO₂-Toleranz“ Ruhe und Kontrolle, selbst wenn der Körper zum Atmen drängt.",
dict,Баланс,Баланс,Saldo,Solde,Guthaben,
dict,"Баланс, рівний пульс (HRV)","Баланс, рівний пульс (HRV)","Equilibrio, pulso estable (HRV)","Équilibre, pouls régulier (HRV)","Balance, gleichmäßiger Puls (HRV)",
dict,Балансує нервову систему,Балансує нервову систему,Equilibra el sistema nervioso,Équilibre le système nerveux,Balanciert das Nervensystem,
dict,Бали за корисний час,Бали за корисний час,Puntos por tiempo útil,Points pour le temps utile,Punkte für nützliche Zeit,
dict,"Бали: 1 хвилина практики = 1 бал, плюс бали за завдання. Витрачай їх на винагороди, які сам собі придумаєш.","Бали: 1 хвилина практики = 1 бал, плюс бали за завдання. Витрачай їх на винагороди, які сам собі придумаєш.","Puntos: 1 minuto de práctica = 1 punto, más puntos por tareas. Gástalos en recompensas que decidas tú.","Points : 1 minute de pratique = 1 point, plus des points pour les tâches. Dépense-les en récompenses que tu te fixes toi-même.","Punkte: 1 Minute Praktik = 1 Punkt, plus Punkte für Aufgaben. Gib sie für Belohnungen aus, die du dir selbst ausdenkst.",
dict,Балів,Балів,Puntos,Points,Punkte,
dict,Без,Без,Sin,Aucun,Ohne,
dict,Без доказів,Без доказів,Sin pruebas,Sans preuves,Ohne Belege,
dict,Без звички,Без звички,Sin el hábito,Sans l'habitude,Ohne Gewohnheit,
dict,"Без магії й обіцянок — проста система, що тримає тебе в русі щодня й показує, як ти крок за кроком стаєш стійкішим до того, що тебе оточує.","Без магії й обіцянок — проста система, що тримає тебе в русі щодня й показує, як ти крок за кроком стаєш стійкішим до того, що тебе оточує.","Sin magia ni promesas: un sistema simple que te mantiene en movimiento cada día y te muestra cómo, paso a paso, te vuelves más resistente a lo que te rodea.","Sans magie ni promesses — un système simple qui te garde en mouvement chaque jour et te montre comment, pas à pas, tu gagnes en résistance à ce qui t'entoure.","Ohne Magie und ohne Versprechen — ein einfaches System, das dich jeden Tag in Bewegung hält und dir zeigt, wie du Schritt für Schritt widerstandsfähiger gegenüber dem wirst, was dich umgibt.",
dict,Без назви,Без назви,Sin título,Sans titre,Ohne Titel,
dict,Без наукової бази.,Без наукової бази.,Sin base científica.,Sans base scientifique.,Ohne wissenschaftliche Basis.,
dict,Без опису.,Без опису.,Sin descripción.,Sans description.,Ohne Beschreibung.,
dict,Без підтверджених механізмів.,Без підтверджених механізмів.,Sin mecanismos confirmados.,Sans mécanismes confirmés.,Ohne bestätigte Mechanismen.,
dict,Без імені,Без імені,Sin nombre,Sans nom,Ohne Name,
dict,Березень,Березень,Marzo,Mars,März,
dict,"Бета домінує під час роботи, аналізу й розвʼязання задач. Допомагає зібратися та тримати фокус, коли треба бути продуктивним і бадьорим.","Бета домінує під час роботи, аналізу й розвʼязання задач. Допомагає зібратися та тримати фокус, коли треба бути продуктивним і бадьорим.","El beta domina durante el trabajo, el análisis y la resolución de problemas. Ayuda a concentrarse y mantener el foco cuando hay que ser productivo y estar despierto.","Le bêta domine au travail, dans l'analyse et la résolution de problèmes. Il aide à se rassembler et à tenir le focus quand il faut être productif et alerte.","Beta dominiert bei Arbeit, Analyse und Problemlösung. Es hilft, sich zu sammeln und den Fokus zu halten, wenn man produktiv und wach sein muss.",
dict,"Блукаючий нерв (вагус) — головний канал парасимпатичної системи. Його активність повʼязана зі спокоєм, травленням і відновленням.","Блукаючий нерв (вагус) — головний канал парасимпатичної системи. Його активність повʼязана зі спокоєм, травленням і відновленням.","El nervio vago es el canal principal del sistema parasimpático. Su actividad se asocia a la calma, la digestión y la recuperación.","Le nerf vague est le canal principal du système parasympathique. Son activité est liée au calme, à la digestion et à la récupération.","Der Vagusnerv ist der Hauptkanal des parasympathischen Systems. Seine Aktivität hängt mit Ruhe, Verdauung und Erholung zusammen.",
dict,Блукаючий нерв і відновлення,Блукаючий нерв і відновлення,El nervio vago y la recuperación,Le nerf vague et la récupération,Der Vagusnerv und die Erholung,
dict,Бокові мʼязи кора,Бокові мʼязи кора,Músculos laterales del core,Muscles latéraux du tronc,Seitliche Rumpfmuskeln,
dict,"Бокові мʼязи кора, баланс","Бокові мʼязи кора, баланс","Músculos laterales del core, equilibrio","Muscles latéraux du gainage, équilibre","Seitliche Core-Muskeln, Balance",
dict,"Бура тканина гріє тіло, спалюючи енергію","Бура тканина гріє тіло, спалюючи енергію",La grasa parda calienta el cuerpo quemando energía,La graisse brune réchauffe le corps en brûlant de l'énergie,Braunes Gewebe wärmt den Körper durch Energieverbrennung,
dict,Бібліотека,Бібліотека,Biblioteca,Bibliothèque,Bibliothek,
dict,Бібліофіл,Бібліофіл,Bibliófilo,Bibliophile,Bibliophiler,
