severity,area,lang,key,issue,value
REVIEW,de-caps,de,Поки що немає збережених розмов. Почни нову — вона збережеться автоматично.,"lowercase word after ""eine"": ""neue""",Noch keine gespeicherten Unterhaltungen. Beginne eine neue — sie speichert sich automatisch.
REVIEW,de-caps,de,Є попередня база. Ефект мʼякший за тета/дельта.,"lowercase word after ""eine"": ""vorläufige""",Es gibt eine vorläufige Basis. Die Wirkung ist milder als Theta/Delta.
REVIEW,de-caps,de,"40 Гц повʼязують із памʼяттю, концентрацією та ясністю мислення — це найкраще досліджений діапазон серед бінаурал-ритмів. Слухають для глибокої розумової роботи.","lowercase word after ""den"": ""binauralen""","40 Hz wird mit Gedächtnis, Konzentration und Denkklarheit verbunden — der am besten untersuchte Bereich unter den binauralen Beats. Man hört ihn für tiefe geistige Arbeit."
REVIEW,de-caps,de,Має відносно найкращу наукову підтримку серед усіх тут.,"lowercase word after ""die"": ""beste""",Hat vergleichsweise die beste wissenschaftliche Unterstützung von allem hier.
REVIEW,de-caps,de,"Прихильники називають його «заземлювальним» — таким, що допомагає розслабитися й синхронізуватися з природним ритмом планети. Корисний для спокою та м'якої медитації.","lowercase word after ""dem"": ""natürlichen""",Befürworter nennen ihn „erdend“ — er helfe zu entspannen und sich mit dem natürlichen Rhythmus des Planeten zu synchronisieren. Nützlich für Ruhe und sanfte Meditation.
REVIEW,de-caps,de,Сам по собі нечутний; відтворюється як бінаурал-ритм. Доказів специфічного впливу немає.,"lowercase word after ""eine"": ""spezifische""",An sich nicht hörbar; wird als binauraler Beat wiedergegeben. Kein Beleg für eine spezifische Wirkung.
REVIEW,de-caps,de,Наукових доказів специфічного впливу немає. Але спокійна музика й усвідомлене слухання самі по собі розслабляють.,"lowercase word after ""eine"": ""spezifische""",Kein wissenschaftlicher Beleg für eine spezifische Wirkung. Aber ruhige Musik und bewusstes Hören entspannen an sich.
REVIEW,de-caps,de,"Асоціюється з поверненням до внутрішнього чуття, спокоєм і духовним порядком. Слухають для зосередження всередину.","lowercase word after ""zum"": ""inneren""","Assoziiert mit der Rückkehr zum inneren Gespür, Ruhe und spiritueller Ordnung. Man hört ihn, um sich nach innen zu konzentrieren."
REVIEW,de-caps,de,Альтернативний музичний строй (замість стандартних 440 Гц).,"lowercase word after ""der"": ""üblichen""",Eine alternative Musikstimmung (statt der üblichen 440 Hz).
REVIEW,de-caps,de,"Передпліччя й носки на підлозі, тіло — пряма лінія від голови до пʼят. Не провисай у попереку, дихай рівно. Тримай, скільки можеш із гарною технікою.","lowercase word after ""eine"": ""gerade""","Unterarme und Fußspitzen am Boden, Körper eine gerade Linie von Kopf bis Ferse. Nicht im unteren Rücken durchhängen, gleichmäßig atmen. Halte, so lange du mit guter Technik kannst."
REVIEW,de-caps,de,"Опора на одне передпліччя, тіло боком у пряму лінію. Таз не провисає. Зроби обидві сторони.","lowercase word after ""einer"": ""geraden""","Stütze dich auf einen Unterarm, der Körper seitlich in einer geraden Linie. Das Becken sackt nicht ab. Mach beide Seiten."
REVIEW,de-caps,de,М’яко прогнись назад або вийди в місток лише в межах комфорту. Без болю в попереку. Тримай і рівно дихай.,"lowercase word after ""im"": ""unteren""","Beuge dich sanft nach hinten oder gehe in die Brücke, nur im Rahmen des Komforts. Ohne Schmerzen im unteren Rücken. Halte und atme gleichmäßig."
REVIEW,de-caps,de,У полицю прочитаних,"lowercase word after ""der"": ""gelesenen""",Ins Regal der gelesenen Bücher
REVIEW,de-caps,de,Закрити цю ціль? Вона перейде в закриті.,"lowercase word after ""den"": ""abgeschlossenen""",Dieses Ziel abschließen? Es wird zu den abgeschlossenen Zielen verschoben.
REVIEW,de-caps,de,"Ти — свій персонаж. Кожна реальна практика стає досвідом (XP) гілок розвитку, рівнями й рангами; окрема «Воля» винагороджує сталість. Прокачуєш не аватар, а себе.","lowercase word after ""ein"": ""eigener""","Du bist deine Figur. Jede echte Praxis wird zu Erfahrung (XP) für deine Entwicklungszweige, Level und Ränge; ein eigener „Wille“ belohnt Beständigkeit. Du levelst nicht einen Avatar, sondern dich selbst."
REVIEW,de-caps,de,"Без магії й обіцянок — проста система, що тримає тебе в русі щодня й показує, як ти крок за кроком стаєш стійкішим до того, що тебе оточує.","lowercase word after ""ein"": ""einfaches""","Ohne Magie und ohne Versprechen — ein einfaches System, das dich jeden Tag in Bewegung hält und dir zeigt, wie du Schritt für Schritt widerstandsfähiger gegenüber dem wirst, was dich umgibt."
REVIEW,de-caps,de,Кожна практика розподіляє зароблені очки між навичками за фіксованим вектором — тому одна дія може качати кілька навичок водночас.,"lowercase word after ""die"": ""verdienten""",Jede Praxis verteilt die verdienten Punkte nach einem festen Vektor auf die Fähigkeiten — deshalb kann eine Handlung mehrere Fähigkeiten zugleich trainieren.
REVIEW,de-caps,de,Звання відкриваються за рівнями — кожні 3 рівні новий ранг.,"lowercase word after ""ein"": ""neuer""",Titel schalten sich nach Level frei — alle 3 Level ein neuer Rang.
REVIEW,de-caps,de,Створи свою спільноту або прийми запрошення від друга — дзвіночок угорі.,"lowercase word after ""deine"": ""eigene""",Erstelle deine eigene Gemeinschaft oder nimm die Einladung eines Freundes an — die Glocke oben.
REVIEW,de-caps,de,Створи перший спільний виклик для команди.,"lowercase word after ""die"": ""erste""",Erstelle die erste gemeinsame Challenge für das Team.
REVIEW,de-caps,de,Постав оцінку сьогоднішнього дня,"lowercase word after ""den"": ""heutigen""",Bewerte den heutigen Tag
REVIEW,de-caps,de,Поки ти єдиний учасник.,"lowercase word after ""der"": ""einzige""",Bisher bist du der einzige Teilnehmer.
REVIEW,de-caps,de,Ще немає звичок. Додай першу нижче.,"lowercase word after ""die"": ""erste""",Noch keine Gewohnheiten. Füge unten die erste hinzu.
REVIEW,de-caps,de,"Тут можна все роздивитися. А щоб проходити практики, ставити цілі й зберігати свій прогрес — створи безкоштовний акаунт. Це швидко.","lowercase word after ""ein"": ""kostenloses""","Hier kannst du dir alles ansehen. Und um Praktiken zu machen, Ziele zu setzen und deinen Fortschritt zu speichern — erstelle ein kostenloses Konto. Das geht schnell."
REVIEW,de-caps,de,"Це демо-наставник Resonance. Судячи з твоїх даних, серія тримається впевнено — сьогодні варто закріпити результат короткою дихальною практикою для фокусу.","lowercase word after ""einer"": ""kurzen""","Das ist der Demo-Mentor von Resonance. Deinen Daten nach hält deine Serie stabil — heute lohnt es sich, das Ergebnis mit einer kurzen Atemübung für den Fokus zu festigen."
REVIEW,de-caps,de,Введи новий пароль для свого акаунта.,"lowercase word after ""ein"": ""neues""",Gib ein neues Passwort für dein Konto ein.
REVIEW,de-caps,de,Ще немає цілей. Створи першу — і бачитимеш прогрес тут і на головній.,"lowercase word after ""das"": ""erste""",Noch keine Ziele. Erstelle das erste — und du siehst den Fortschritt hier und auf dem Startbildschirm.
REVIEW,de-caps,de,"Рівень не падає. Він тримається на твоїй найкращій серії: якщо пропустиш день, поточна серія почнеться заново, але рівень залишиться на місці.","lowercase word after ""deiner"": ""besten""","Das Level sinkt nicht. Es beruht auf deiner besten Serie: Wenn du einen Tag auslässt, beginnt die aktuelle Serie von vorn, aber das Level bleibt bestehen."
REVIEW,de-caps,de,Кожні 3 рівні відкривається нове звання — твій титул за витримку:,"lowercase word after ""ein"": ""neuer""",Alle 3 Level schaltet sich ein neuer Rang frei — dein Titel für Ausdauer:
REVIEW,de-caps,de,Окремо від рівня ти заробляєш очки навичок: 1 хвилина практики = 1 очко. Кожна практика розподіляє очки між навичками за фіксованим вектором — одна дія може качати кілька навичок водночас.,"lowercase word after ""einem"": ""festen""",Unabhängig vom Level verdienst du Fähigkeitspunkte: 1 Minute Praxis = 1 Punkt. Jede Praxis verteilt die Punkte nach einem festen Vektor auf die Fähigkeiten — eine Handlung kann mehrere Fähigkeiten zugleich trainieren.
REVIEW,de-caps,de,Швидко повернутися в теперішній момент через органи чуття.,"lowercase word after ""den"": ""gegenwärtigen""",Über die Sinne schnell in den gegenwärtigen Moment zurückkehren.
REVIEW,de-caps,de,"Не поспішай. На кожному кроці справді знайди названу кількість речей, перш ніж іти далі.","lowercase word after ""die"": ""genannte""","Beeil dich nicht. Finde bei jedem Schritt wirklich die genannte Anzahl an Dingen, bevor du weitergehst."
REVIEW,de-caps,de,Заплющ очі та зморщ усе обличчя.,"lowercase word after ""das"": ""ganze""",Schließe die Augen und verziehe das ganze Gesicht.
REVIEW,de-caps,de,Повторюй подумки короткі формули про важкість і тепло в тілі — це вмикає розслаблення нервової системи.,"lowercase word after ""das"": ""schaltet""",Wiederhole innerlich kurze Formeln über Schwere und Wärme im Körper — das schaltet die Entspannung des Nervensystems ein.
REVIEW,de-caps,de,"Тут — твій рівень, звання й клас. Рівень росте від найдовшої серії практик поспіль. Коло скілів показує, наскільки розвинена кожна навичка. Тисни на елементи, щоб дізнатись більше.","lowercase word after ""deiner"": ""längsten""","Hier sind dein Level, dein Rang und deine Klasse. Das Level wächst aus deiner längsten Serie von Praktiken am Stück. Das Fähigkeitsrad zeigt, wie entwickelt jede Fähigkeit ist. Tippe auf die Elemente, um mehr zu erfahren."
REVIEW,de-caps,de,"Особисті цілі, прогрес яких рахується автоматично — з твоїх практик, звичок і книг. На головній показуються активні цілі.","lowercase word after ""die"": ""aktiven""","Persönliche Ziele, deren Fortschritt automatisch gezählt wird — aus deinen Praktiken, Gewohnheiten und Büchern. Der Startbildschirm zeigt die aktiven Ziele."
REVIEW,de-caps,de,"Звідси відкриваються практики: дихання, холод, вправи, частоти, антистрес. У демо їх можна роздивитись, а проходити — вже зі своїм акаунтом.","lowercase word after ""deinem"": ""eigenen""","Von hier aus öffnen sich die Praktiken: Atmung, Kälte, Übungen, Frequenzen, Anti-Stress. In der Demo kannst du sie ansehen; um sie zu machen — mit deinem eigenen Konto."
REVIEW,de-caps,de,Коло навичок: кожна практика дає очки досвіду й піднімає відповідну гілку. Твій рівень залежить від найдовшої серії практики поспіль.,"lowercase word after ""den"": ""passenden""",Fähigkeitsrad: Jede Praxis gibt Erfahrungspunkte und hebt den passenden Zweig. Dein Level hängt von deiner längsten Serie von Praxis am Stück ab.
REVIEW,de-caps,de,"Динаміка твоїх практик і оцінок за обраний період. Перемикай метрику й діапазон, щоб побачити прогрес.","lowercase word after ""im"": ""gewählten""","Der Verlauf deiner Praktiken und Bewertungen im gewählten Zeitraum. Wechsle Metrik und Bereich, um deinen Fortschritt zu sehen."
REVIEW,de-caps,de,"Обери практику — таймер поведе тебе крок за кроком. У демо їх можна роздивитись, а проходити — вже зі своїм акаунтом.","lowercase word after ""deinem"": ""eigenen""",Wähle eine Praxis — der Timer führt dich Schritt für Schritt. In der Demo kannst du sie ansehen; um sie zu machen — mit deinem eigenen Konto.
REVIEW,de-caps,de,"Твій персонаж: імʼя, аватар, рівень, звання й клас, що змінюються разом із розвитком.","lowercase word after ""die"": ""sich""","Deine Figur: Name, Avatar, Level, Rang und Klasse, die sich mit deiner Entwicklung ändern."
REVIEW,de-caps,de,Разом легше тримати ритм: спільні челенджі й підтримка. Долучення — зі своїм акаунтом.,"lowercase word after ""deinem"": ""eigenen""","Zusammen fällt es leichter, den Rhythmus zu halten: gemeinsame Challenges und Unterstützung. Beitritt — mit deinem eigenen Konto."
REVIEW,de-caps,de,Пройди першу практику,"lowercase word after ""deine"": ""erste""",Mach deine erste Praxis
REVIEW,de-caps,de,Постав першу ціль,"lowercase word after ""dein"": ""erstes""",Setze dein erstes Ziel
REVIEW,de-caps,de,"Зроби першу практику — і твої навички почнуть рости, а рівень підійматися.","lowercase word after ""deine"": ""erste""",Mach deine erste Praxis — und deine Fähigkeiten beginnen zu wachsen und dein Level zu steigen.
REVIEW,de-caps,de,Оціни кілька днів — і тут з'явиться динаміка твого самопочуття.,"lowercase word after ""ein"": ""paar""",Bewerte ein paar Tage — und hier erscheint der Verlauf deines Befindens.
REVIEW,de-caps,de,Зроби кілька практик — і тут з'явиться твоя динаміка.,"lowercase word after ""ein"": ""paar""",Mach ein paar Praktiken — und hier erscheint dein Verlauf.
REVIEW,de-caps,de,Або конкретна вправа,"lowercase word after ""eine"": ""bestimmte""",Oder eine bestimmte Übung
REVIEW,de-caps,de,Зручний інструмент для денного перезавантаження або після короткого сну вночі. 10–20 хвилин зазвичай достатньо.,"lowercase word after ""einer"": ""kurzen""",Ein praktisches Werkzeug für einen Reset am Tag oder nach einer kurzen Nacht. 10–20 Minuten reichen meist.
REVIEW,de-caps,de,"Твій загальний рівень залежить від найдовшої серії практики — скільки днів поспіль виконувалась хоча б одна практика, без жодного пропуску. Що довша серія — то вищий рівень.","lowercase word after ""deiner"": ""längsten""","Dein Gesamtlevel hängt von deiner längsten Praxis-Serie ab — wie viele Tage am Stück du mindestens eine Praxis gemacht hast, ohne eine einzige Auslassung. Je länger die Serie, desto höher das Level."
REVIEW,de-caps,de,"На частоті близько 0,1 Гц (приблизно 5,5 вдиху-видиху за хвилину) ритми серця й дихання входять у резонанс, і HRV помітно зростає. Це маркер гнучкості автономної нервової системи.","lowercase word after ""des"": ""autonomen""","Bei einer Frequenz von etwa 0,1 Hz (ungefähr 5,5 Atemzüge pro Minute) geraten Herz- und Atemrhythmus in Resonanz, und die HRV steigt deutlich. Das ist ein Marker für die Flexibilität des autonomen Nervensystems."
REVIEW,de-caps,de,"Резонанс електромагнітного поля Землі. Напряму нечутний; тут відтворюється як бінаурал-ритм 7,83 Гц.","lowercase word after ""des"": ""elektromagnetischen""","Die Resonanz des elektromagnetischen Feldes der Erde. Direkt nicht hörbar; hier als binauraler Beat mit 7,83 Hz wiedergegeben."
REVIEW,de-caps,de,"Найповільніші мозкові хвилі (0,5–4 Гц), що домінують у глибокому сні без сновидінь.","lowercase word after ""im"": ""tiefen""","Die langsamsten Gehirnwellen (0,5–4 Hz), die im tiefen, traumlosen Schlaf dominieren."
REVIEW,de-caps,de,"Резонанс електромагнітного поля Землі (≈7,83 Гц), на межі альфа/тета.","lowercase word after ""des"": ""elektromagnetischen""","Die Resonanz des elektromagnetischen Feldes der Erde (≈7,83 Hz), an der Grenze zwischen Alpha und Theta."
